Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Terminator 2: Judgment Day,"$516,950,043","$204,843,345",39.6%,"$312,106,698",60.4%
2,Robin Hood: Prince of Thieves,"$390,493,908","$165,493,908",42.4%,"$225,000,000",57.6%
3,Beauty and the Beast,"$331,907,151","$145,863,363",43.9%,"$186,043,788",56.1%
4,Hook,"$300,854,823","$119,654,823",39.8%,"$181,200,000",60.2%
5,The Silence of the Lambs,"$272,742,922","$130,742,922",47.9%,"$142,000,000",52.1%
6,JFK,"$205,405,498","$70,405,498",34.3%,"$135,000,000",65.7%
7,The Addams Family,"$191,502,426","$113,502,426",59.3%,"$78,000,000",40.7%
8,Cape Fear,"$182,291,969","$79,091,969",43.4%,"$103,200,000",56.6%
9,Hot Shots!,"$181,096,164","$69,467,617",38.4%,"$111,628,547",61.6%
10,City Slickers,"$179,033,791","$124,033,791",69.3%,"$55,000,000",30.7%
11,Sleeping with the Enemy,"$174,999,005","$101,599,005",58.1%,"$73,400,000",41.9%
12,Backdraft,"$152,368,585","$77,868,585",51.1%,"$74,500,000",48.9%
13,Fried Green Tomatoes,"$119,418,501","$82,418,501",69%,"$37,000,000",31%
14,Star Trek VI: The Undiscovered Country,"$96,888,996","$74,888,996",77.3%,"$22,000,000",22.7%
15,Father of the Bride,"$89,325,780","$89,325,780",100%,-,-
16,The Naked Gun 2½: The Smell of Fear,"$86,930,411","$86,930,411",100%,-,-
17,Point Break,"$83,531,958","$43,218,387",51.7%,"$40,313,571",48.3%
18,Dying Young,"$82,264,675","$33,669,178",40.9%,"$48,595,497",59.1%
19,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","$78,656,813",100%,-,-
20,The Prince of Tides,"$74,787,599","$74,787,599",100%,-,-
21,The Hard Way,"$65,595,485","$25,895,485",39.5%,"$39,700,000",60.5%
22,What About Bob?,"$63,707,829","$63,707,829",100%,-,-
23,One Hundred and One Dalmatians 1991 Re-release,"$60,830,285","$60,830,285",100%,-,-
24,The Last Boy Scout,"$59,509,925","$59,509,925",100%,-,-
25,My Girl,"$59,489,799","$59,489,799",100%,-,-
26,Boyz n the Hood,"$57,504,069","$57,504,069",100%,-,-
27,Doc Hollywood,"$54,830,779","$54,830,779",100%,-,-
28,King Ralph,"$52,487,045","$34,002,045",64.8%,"$18,485,000",35.2%
29,Bugsy,"$49,114,016","$49,114,016",100%,-,-
30,New Jack City,"$47,624,353","$47,624,353",100%,-,-
31,The Rocketeer,"$46,704,056","$46,704,056",100%,-,-
32,Thelma & Louise,"$45,454,078","$45,360,915",99.8%,"$93,163",0.2%
33,Jungle Fever,"$43,882,682","$32,482,682",74%,"$11,400,000",26%
34,Regarding Henry,"$43,001,500","$43,001,500",100%,-,-
35,The Fisher King,"$41,895,491","$41,895,491",100%,-,-
36,Grand Canyon,"$40,991,329","$33,243,020",81.1%,"$7,748,309",18.9%
37,An American Tail: Fievel Goes West,"$40,766,041","$22,166,041",54.4%,"$18,600,000",45.6%
38,Out for Justice,"$39,673,161","$39,673,161",100%,-,-
39,The Doctor,"$38,120,905","$38,120,905",100%,-,-
40,Bill & Ted's Bogus Journey,"$38,037,513","$38,037,513",100%,-,-
41,Dead Again,"$38,016,380","$38,016,380",100%,-,-
42,Soapdish,"$36,489,888","$36,489,888",100%,-,-
43,Freddy's Dead: The Final Nightmare,"$34,872,033","$34,872,033",100%,-,-
44,White Fang,"$34,793,160","$34,793,160",100%,-,-
45,The Doors,"$34,416,893","$34,416,893",100%,-,-
46,Curly Sue,"$33,691,313","$33,691,313",100%,-,-
47,Problem Child 2,"$32,704,700","$25,104,700",76.8%,"$7,600,000",23.2%
48,The People Under the Stairs,"$31,347,154","$24,204,154",77.2%,"$7,143,000",22.8%
49,Double Impact,"$30,102,717","$30,102,717",100%,-,-
50,Madonna: Truth or Dare,"$29,012,935","$15,012,935",51.7%,"$14,000,000",48.3%
51,L.A. Story,"$28,862,081","$28,862,081",100%,-,-
52,Deceived,"$28,738,096","$28,738,096",100%,-,-
53,Class Action,"$28,277,918","$24,277,858",85.9%,"$4,000,060",14.1%
54,Necessary Roughness,"$26,255,594","$26,255,594",100%,-,-
55,Other People's Money,"$25,682,090","$25,682,090",100%,-,-
56,Don't Tell Mom the Babysitter's Dead,"$25,196,249","$25,196,249",100%,-,-
57,Only the Lonely,"$25,092,802","$21,830,957",87%,"$3,261,845",13%
58,Little Man Tate,"$25,010,896","$25,010,896",100%,-,-
59,Pure Luck,"$24,941,969","$22,641,969",90.8%,"$2,300,000",9.2%
60,Lionheart,"$24,271,196","$24,078,196",99.2%,"$193,000",0.8%
61,Oscar,"$23,562,716","$23,562,716",100%,-,-
62,For the Boys,"$23,202,444","$17,860,280",77%,"$5,342,164",23%
63,Frankie and Johnny,"$22,773,535","$22,773,535",100%,-,-
64,Ricochet,"$21,756,163","$21,756,163",100%,-,-
65,F/X2,"$21,082,165","$21,082,165",100%,-,-
66,Child's Play 3,"$20,560,255","$14,960,255",72.8%,"$5,600,000",27.2%
67,Mobsters,"$20,246,790","$20,246,790",100%,-,-
68,House Party 2,"$19,438,638","$19,438,638",100%,-,-
69,Mortal Thoughts,"$18,784,957","$18,784,957",100%,-,-
70,Paradise,"$18,634,643","$18,634,643",100%,-,-
71,The NeverEnding Story II: The Next Chapter,"$17,373,527","$17,373,527",100%,-,-
72,Hudson Hawk,"$17,218,080","$17,218,080",100%,-,-
